num_s: 13
num_e: 13
Iteration 1: LL: -44.74794196630024, ll_diff: inf
Iteration 223: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 224: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 225: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 226: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 227: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 228: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 229: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 230: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 231: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 232: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 233: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 234: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 235: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 236: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 237: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 238: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 239: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 240: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 241: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 242: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 243: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 244: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 245: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 246: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 247: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 248: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 249: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 250: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 251: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 252: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 253: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 254: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 255: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 256: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 257: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 258: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 259: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 260: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 261: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 262: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 263: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 264: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 265: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 266: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 267: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 268: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 269: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 270: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 271: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 272: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 273: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 274: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 275: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 276: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 277: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 278: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 279: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 280: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 281: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 282: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 283: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 284: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 285: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 286: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 287: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 288: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 289: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 290: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 291: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 292: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 293: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 294: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 295: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 296: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 297: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 298: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 299: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 300: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 301: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 302: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 303: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 304: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 305: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 306: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 307: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 308: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 309: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 310: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 311: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 312: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 313: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 314: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 315: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 316: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 317: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 318: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 319: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 320: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 321: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 322: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 323: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 324: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 325: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 326: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 327: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 328: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 329: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 330: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 331: LL: -59.44818789448742, ll_diff: 15.779728300452888
